downloaded_date,state,year,url,raw_path,http_status,n_rows_total,n_rows_total_private_state_agg,annual_avg_estabs,annual_avg_emplvl
2026-05-06,CA,2021,https://data.bls.gov/cew/data/api/2021/a/area/06000.csv,data/bls_qcew/raw/qcew_CA_2021.csv,200,3206,1,1620760.0,14575306.0
2026-05-06,CA,2022,https://data.bls.gov/cew/data/api/2022/a/area/06000.csv,data/bls_qcew/raw/qcew_CA_2022.csv,200,3183,1,1670259.0,15438555.0
2026-05-06,CA,2023,https://data.bls.gov/cew/data/api/2023/a/area/06000.csv,data/bls_qcew/raw/qcew_CA_2023.csv,200,3208,1,1714686.0,15459871.0
2026-05-06,CA,2024,https://data.bls.gov/cew/data/api/2024/a/area/06000.csv,data/bls_qcew/raw/qcew_CA_2024.csv,200,3213,1,1812802.0,15546764.0
2026-05-06,CO,2017,https://data.bls.gov/cew/data/api/2017/a/area/08000.csv,data/bls_qcew/raw/qcew_CO_2017.csv,200,2675,1,195337.0,2197742.0
2026-05-06,CO,2018,https://data.bls.gov/cew/data/api/2018/a/area/08000.csv,data/bls_qcew/raw/qcew_CO_2018.csv,200,2675,1,201763.0,2255703.0
2026-05-06,CO,2019,https://data.bls.gov/cew/data/api/2019/a/area/08000.csv,data/bls_qcew/raw/qcew_CO_2019.csv,200,2673,1,207575.0,2308134.0
2026-05-06,CO,2020,https://data.bls.gov/cew/data/api/2020/a/area/08000.csv,data/bls_qcew/raw/qcew_CO_2020.csv,200,2679,1,215069.0,2182001.0
2026-05-06,CO,2021,https://data.bls.gov/cew/data/api/2021/a/area/08000.csv,data/bls_qcew/raw/qcew_CO_2021.csv,200,2666,1,226013.0,2278967.0
2026-05-06,CO,2022,https://data.bls.gov/cew/data/api/2022/a/area/08000.csv,data/bls_qcew/raw/qcew_CO_2022.csv,200,2610,1,241934.0,2384337.0
2026-05-06,CO,2023,https://data.bls.gov/cew/data/api/2023/a/area/08000.csv,data/bls_qcew/raw/qcew_CO_2023.csv,200,2628,1,254977.0,2432875.0
2026-05-06,CO,2024,https://data.bls.gov/cew/data/api/2024/a/area/08000.csv,data/bls_qcew/raw/qcew_CO_2024.csv,200,2617,1,246252.0,2436000.0
2026-05-06,CT,2017,https://data.bls.gov/cew/data/api/2017/a/area/09000.csv,data/bls_qcew/raw/qcew_CT_2017.csv,200,2539,1,115224.0,1442388.0
2026-05-06,CT,2018,https://data.bls.gov/cew/data/api/2018/a/area/09000.csv,data/bls_qcew/raw/qcew_CT_2018.csv,200,2527,1,117513.0,1449072.0
2026-05-06,CT,2019,https://data.bls.gov/cew/data/api/2019/a/area/09000.csv,data/bls_qcew/raw/qcew_CT_2019.csv,200,2513,1,119643.0,1445817.0
2026-05-06,CT,2020,https://data.bls.gov/cew/data/api/2020/a/area/09000.csv,data/bls_qcew/raw/qcew_CT_2020.csv,200,2515,1,121578.0,1332441.0
2026-05-06,CT,2021,https://data.bls.gov/cew/data/api/2021/a/area/09000.csv,data/bls_qcew/raw/qcew_CT_2021.csv,200,2523,1,127723.0,1378867.0
2026-05-06,CT,2022,https://data.bls.gov/cew/data/api/2022/a/area/09000.csv,data/bls_qcew/raw/qcew_CT_2022.csv,200,2472,1,136171.0,1426728.0
2026-05-06,CT,2023,https://data.bls.gov/cew/data/api/2023/a/area/09000.csv,data/bls_qcew/raw/qcew_CT_2023.csv,200,2496,1,143973.0,1448352.0
2026-05-06,CT,2024,https://data.bls.gov/cew/data/api/2024/a/area/09000.csv,data/bls_qcew/raw/qcew_CT_2024.csv,200,2482,1,145501.0,1459801.0
2026-05-06,DC,2017,https://data.bls.gov/cew/data/api/2017/a/area/11000.csv,data/bls_qcew/raw/qcew_DC_2017.csv,200,1671,1,39565.0,524773.0
2026-05-06,DC,2018,https://data.bls.gov/cew/data/api/2018/a/area/11000.csv,data/bls_qcew/raw/qcew_DC_2018.csv,200,1659,1,39325.0,534661.0
2026-05-06,DC,2019,https://data.bls.gov/cew/data/api/2019/a/area/11000.csv,data/bls_qcew/raw/qcew_DC_2019.csv,200,1661,1,40332.0,539540.0
2026-05-06,DC,2020,https://data.bls.gov/cew/data/api/2020/a/area/11000.csv,data/bls_qcew/raw/qcew_DC_2020.csv,200,1694,1,42139.0,487302.0
2026-05-06,DC,2021,https://data.bls.gov/cew/data/api/2021/a/area/11000.csv,data/bls_qcew/raw/qcew_DC_2021.csv,200,1703,1,43992.0,485599.0
2026-05-06,DC,2022,https://data.bls.gov/cew/data/api/2022/a/area/11000.csv,data/bls_qcew/raw/qcew_DC_2022.csv,200,1659,1,48172.0,514487.0
2026-05-06,DC,2023,https://data.bls.gov/cew/data/api/2023/a/area/11000.csv,data/bls_qcew/raw/qcew_DC_2023.csv,200,1660,1,51124.0,525559.0
2026-05-06,DC,2024,https://data.bls.gov/cew/data/api/2024/a/area/11000.csv,data/bls_qcew/raw/qcew_DC_2024.csv,200,1644,1,51860.0,524284.0
2026-05-06,DE,2017,https://data.bls.gov/cew/data/api/2017/a/area/10000.csv,data/bls_qcew/raw/qcew_DE_2017.csv,200,2136,1,31370.0,379223.0
2026-05-06,DE,2018,https://data.bls.gov/cew/data/api/2018/a/area/10000.csv,data/bls_qcew/raw/qcew_DE_2018.csv,200,2128,1,32559.0,384332.0
2026-05-06,DE,2019,https://data.bls.gov/cew/data/api/2019/a/area/10000.csv,data/bls_qcew/raw/qcew_DE_2019.csv,200,2116,1,33827.0,389170.0
2026-05-06,DE,2020,https://data.bls.gov/cew/data/api/2020/a/area/10000.csv,data/bls_qcew/raw/qcew_DE_2020.csv,200,2140,1,34647.0,364179.0
2026-05-06,DE,2021,https://data.bls.gov/cew/data/api/2021/a/area/10000.csv,data/bls_qcew/raw/qcew_DE_2021.csv,200,2148,1,36097.0,375307.0
2026-05-06,DE,2022,https://data.bls.gov/cew/data/api/2022/a/area/10000.csv,data/bls_qcew/raw/qcew_DE_2022.csv,200,2126,1,40175.0,392082.0
2026-05-06,DE,2023,https://data.bls.gov/cew/data/api/2023/a/area/10000.csv,data/bls_qcew/raw/qcew_DE_2023.csv,200,2153,1,42927.0,404157.0
2026-05-06,DE,2024,https://data.bls.gov/cew/data/api/2024/a/area/10000.csv,data/bls_qcew/raw/qcew_DE_2024.csv,200,2121,1,45178.0,409731.0
2026-05-06,FL,2017,https://data.bls.gov/cew/data/api/2017/a/area/12000.csv,data/bls_qcew/raw/qcew_FL_2017.csv,200,2936,1,667411.0,7437388.0
2026-05-06,FL,2018,https://data.bls.gov/cew/data/api/2018/a/area/12000.csv,data/bls_qcew/raw/qcew_FL_2018.csv,200,2931,1,684528.0,7635037.0
2026-05-06,FL,2019,https://data.bls.gov/cew/data/api/2019/a/area/12000.csv,data/bls_qcew/raw/qcew_FL_2019.csv,200,2939,1,711804.0,7808474.0
2026-05-06,FL,2020,https://data.bls.gov/cew/data/api/2020/a/area/12000.csv,data/bls_qcew/raw/qcew_FL_2020.csv,200,2946,1,740522.0,7389890.0
2026-05-06,FL,2021,https://data.bls.gov/cew/data/api/2021/a/area/12000.csv,data/bls_qcew/raw/qcew_FL_2021.csv,200,2984,1,792325.0,7811760.0
2026-05-06,FL,2022,https://data.bls.gov/cew/data/api/2022/a/area/12000.csv,data/bls_qcew/raw/qcew_FL_2022.csv,200,2935,1,845932.0,8308654.0
2026-05-06,FL,2023,https://data.bls.gov/cew/data/api/2023/a/area/12000.csv,data/bls_qcew/raw/qcew_FL_2023.csv,200,2931,1,873215.0,8599846.0
2026-05-06,FL,2024,https://data.bls.gov/cew/data/api/2024/a/area/12000.csv,data/bls_qcew/raw/qcew_FL_2024.csv,200,2954,1,876034.0,8729175.0
2026-05-06,GA,2017,https://data.bls.gov/cew/data/api/2017/a/area/13000.csv,data/bls_qcew/raw/qcew_GA_2017.csv,200,2749,1,265558.0,3699460.0
2026-05-06,GA,2018,https://data.bls.gov/cew/data/api/2018/a/area/13000.csv,data/bls_qcew/raw/qcew_GA_2018.csv,200,2755,1,270541.0,3777824.0
2026-05-06,GA,2019,https://data.bls.gov/cew/data/api/2019/a/area/13000.csv,data/bls_qcew/raw/qcew_GA_2019.csv,200,2757,1,280279.0,3859728.0
2026-05-06,GA,2020,https://data.bls.gov/cew/data/api/2020/a/area/13000.csv,data/bls_qcew/raw/qcew_GA_2020.csv,200,2749,1,301221.0,3663623.0
2026-05-06,GA,2021,https://data.bls.gov/cew/data/api/2021/a/area/13000.csv,data/bls_qcew/raw/qcew_GA_2021.csv,200,2755,1,328364.0,3838969.0
2026-05-06,GA,2022,https://data.bls.gov/cew/data/api/2022/a/area/13000.csv,data/bls_qcew/raw/qcew_GA_2022.csv,200,2692,1,370748.0,4062791.0
2026-05-06,GA,2023,https://data.bls.gov/cew/data/api/2023/a/area/13000.csv,data/bls_qcew/raw/qcew_GA_2023.csv,200,2694,1,378556.0,4147694.0
2026-05-06,GA,2024,https://data.bls.gov/cew/data/api/2024/a/area/13000.csv,data/bls_qcew/raw/qcew_GA_2024.csv,200,2741,1,383400.0,4183693.0
2026-05-06,HI,2017,https://data.bls.gov/cew/data/api/2017/a/area/15000.csv,data/bls_qcew/raw/qcew_HI_2017.csv,200,2157,1,39172.0,531863.0
2026-05-06,HI,2018,https://data.bls.gov/cew/data/api/2018/a/area/15000.csv,data/bls_qcew/raw/qcew_HI_2018.csv,200,2167,1,40274.0,536370.0
2026-05-06,HI,2019,https://data.bls.gov/cew/data/api/2019/a/area/15000.csv,data/bls_qcew/raw/qcew_HI_2019.csv,200,2171,1,42128.0,536507.0
2026-05-06,HI,2020,https://data.bls.gov/cew/data/api/2020/a/area/15000.csv,data/bls_qcew/raw/qcew_HI_2020.csv,200,2164,1,43885.0,442656.0
2026-05-06,HI,2021,https://data.bls.gov/cew/data/api/2021/a/area/15000.csv,data/bls_qcew/raw/qcew_HI_2021.csv,200,2178,1,46101.0,470907.0
2026-05-06,HI,2022,https://data.bls.gov/cew/data/api/2022/a/area/15000.csv,data/bls_qcew/raw/qcew_HI_2022.csv,200,2132,1,50348.0,501744.0
