search_index,ein,firm_name,normalized_name,state,employee_count,plan_effective_date,search_status,edgar_cik,edgar_company_name,filing_form,filing_accession,filing_date,filing_doc_url,match_text_excerpt,match_formula_summary,has_match,has_safe_harbor,has_profit_sharing,has_discretionary,search_query,searched_at,notes
33,862384522,SK HYNIX NAND PRODUCT SOLUTIONS CORP.,SK HYNIX NAND PRODUCT SOLUTIONS CORP,CA,1557,2022-01-01,not_found,,,,,,,,,False,False,False,False,SK HYNIX NAND PRODUCT SOLUTIONS CORP,2026-04-29T13:00:33,
34,264619303,"SUMMIT STAFFING, INC.",SUMMIT STAFFING INC,IL,1557,2019-01-01,ambiguous,1619096,SUMMIT NETWORKS INC.,10-K,0001091818-26-000053,2026-04-24,https://www.sec.gov/Archives/edgar/data/1619096/000109181826000053/sntw_12312510-k.htm,,,False,False,False,False,SUMMIT STAFFING INC,2026-04-29T13:00:34,low-confidence (1 distinctive token shared); candidate SUMMIT NETWORKS INC.
35,462334543,BOKA RESTAURANT GROUP,BOKA RESTAURANT,IL,1550,2019-01-01,not_found,,,,,,,,,False,False,False,False,BOKA RESTAURANT,2026-04-29T13:00:36,
36,760810897,"ZEMPLEO, INC.",ZEMPLEO INC,CA,1525,2022-01-01,not_found,,,,,,,,,False,False,False,False,ZEMPLEO INC,2026-04-29T13:00:37,
37,363736243,DELUXE MEDIA INC.,DELUXE MEDIA INC,CA,1502,2021-01-01,ambiguous,27996,DELUXE CORP,10-K,0000027996-26-000037,2026-02-13,https://www.sec.gov/Archives/edgar/data/27996/000002799626000037/dlx-20251231.htm,0027996 dlx:DefinedbenefitplanequitysecuritiessmallandmidcapMember us-gaap:FairValueMeasuredAtNetAssetValuePerShareMember 2024-12-31 0000027996 us-gaap:FairValueInputsLevel1Member 2024-12-31 0000027996 us-gaap:FairValueInputsLevel2Member 2024-12-31 0000027996 us-gaap:FairValueInputsLevel3Member 2024-12-31 0000027996 us-gaap:FairValueMeasuredAtNetAssetValuePerShareMember 2024-12-31 0000027996 dlx:A401Kplanfirst1ofwagescontributedbyemployeeMember 2025-05-01 2025-12-31 0000027996 dlx:A401Kplan100employermatchMember 2025-05-01 2025-12-31 0000027996 dlx:A401KPlanSecondTierOfWagesContributedByEmployeeMember 2025-05-01 2025-12-31 0000027996 dlx:A401Kplan50employermatchMember 2025-05-01 2025-12-31 0000027996 dlx:A401Kplanfirst1ofwagescontributedbyemployeeMember 2025-01-01 2025-04-30 0000027996 dlx:A401Kplan100employermatchMember 2025-01-01 2025-04-30 0000027996 dlx:A401KPlanSecondTierOfWagesContributedByEmployeeMember 2025-01-01 2025-04-30 0000027996 dlx:A401Kplan50employermatchMember 2025-01-,,False,False,False,False,DELUXE MEDIA INC,2026-04-29T13:00:38,low-confidence (1 distinctive token shared); candidate DELUXE CORP
38,460841057,S & S LABOR FORCE INC,S & S LABOR FORCE,CA,1362,2020-01-01,not_found,,,,,,,,,False,False,False,False,S & S LABOR FORCE,2026-04-29T13:00:41,
39,871756829,SANDSTONE HEALTHCARE GROUP,SANDSTONE HEALTHCARE,IL,1359,2021-11-01,not_found,,,,,,,,,False,False,False,False,SANDSTONE HEALTHCARE,2026-04-29T13:00:44,
40,813121592,"LOS ANGELES APPAREL, INC.",LOS ANGELES APPAREL INC,CA,1348,2021-01-01,not_found,,,,,,,,,False,False,False,False,LOS ANGELES APPAREL INC,2026-04-29T13:00:45,
41,821062849,SCOOT EDUCATION INC,SCOOT EDUCATION,CA,1331,2022-01-01,not_found,,,,,,,,,False,False,False,False,SCOOT EDUCATION,2026-04-29T13:00:48,
42,201607245,"FOLLETT SCHOOL SOLUTIONS HOLDINGS, LLC",FOLLETT SCHOOL SOLUTIONS HOLDINGS,IL,1320,2022-01-01,not_found,,,,,,,,,False,False,False,False,FOLLETT SCHOOL SOLUTIONS HOLDINGS,2026-04-29T13:00:49,
43,352639482,"COGIR MANAGEMENT USA, INC.",COGIR MANAGEMENT USA INC,CA,1318,2021-01-01,not_found,,,,,,,,,False,False,False,False,COGIR MANAGEMENT USA INC,2026-04-29T13:00:51,
44,953253302,"COMMUNITY HEALTH CENTERS OF THE OF THE CENTRAL COAST, INC.",COMMUNITY HEALTH CENTERS OF THE OF THE CENTRAL COAST INC,CA,1310,2022-01-01,ambiguous,350852,COMMUNITY TRUST BANCORP INC /KY/,10-K,0001140361-26-007058,2026-02-27,https://www.sec.gov/Archives/edgar/data/350852/000114036126007058/ef20060685_10k.htm,-12-31 0000350852 us-gaap:StandbyLettersOfCreditMember 2025-12-31 0000350852 us-gaap:CommitmentsToExtendCreditMember 2025-12-31 0000350852 us-gaap:StandbyLettersOfCreditMember 2025-01-01 2025-12-31 0000350852 us-gaap:CommitmentsToExtendCreditMember srt:MinimumMember 2025-01-01 2025-12-31 0000350852 srt:MaximumMember us-gaap:CommitmentsToExtendCreditMember 2025-01-01 2025-12-31 0000350852 ctbi:Plan401KMember 2025-01-01 2025-12-31 0000350852 ctbi:Plan40lKFirstCompensationMember 2025-01-01 2025-12-31 0000350852 ctbi:Plan40lKSecondCompensationMember 2025-01-01 2025-12-31 0000350852 ctbi:Plan401KMember 2024-01-01 2024-12-31 0000350852 ctbi:Plan401KMember 2023-01-01 2023-12-31 0000350852 ctbi:Plan401KMember 2024-12-31 0000350852 ctbi:Plan401KMember 2025-12-31 0000350852 ctbi:Plan401KMember 2023-12-31 0000350852 ctbi:EmployeeStockOwnershipPlanMember 2025-01-01 2025-12-31 0000350852 ctbi:EmployeeStockOwnershipPlanMember 2023-01-01 2023-12-31 0000350852 ctbi:EmployeeStockOwnershipPlanMember 202,,False,False,False,False,COMMUNITY HEALTH CENTERS OF THE OF THE CENTRAL COAST INC,2026-04-29T13:00:53,low-confidence (1 distinctive token shared); candidate COMMUNITY TRUST BANCORP INC /KY/
45,883592686,"PREMIER PACKING OF CALIFORNIA, INC.",PREMIER PACKING OF CALIFORNIA INC,CA,1300,2023-10-01,ambiguous,1609253,CALIFORNIA RESOURCES CORP,10-K,0001609253-26-000051,2026-03-02,https://www.sec.gov/Archives/edgar/data/1609253/000160925326000051/crc-20251231.htm,,,False,False,False,False,PREMIER PACKING OF CALIFORNIA INC,2026-04-29T13:00:57,low-confidence (1 distinctive token shared); candidate CALIFORNIA RESOURCES CORP
46,362876129,EI MILAGRO INC.,EI MILAGRO INC,IL,1300,2024-04-01,not_found,,,,,,,,,False,False,False,False,EI MILAGRO INC,2026-04-29T13:01:00,
47,800372807,"360 PATRIOT ENTERPRISES, LLC",360 PATRIOT ENTERPRISES,VA,1293,2023-07-22,not_found,,,,,,,,,False,False,False,False,360 PATRIOT ENTERPRISES,2026-04-29T13:01:01,
48,273002342,"SEISMIC SOFTWARE, INC",SEISMIC SOFTWARE,CA,1291,2021-01-08,ambiguous,,ION GEOPHYSICAL CORP  (CIK 0000866609),,,,,,,False,False,False,False,SEISMIC SOFTWARE,2026-04-29T13:01:03,top FTS hit: ION GEOPHYSICAL CORP  (CIK 0000866609) | filing text not retrievable
49,834414525,CULTIVATE BEHAVIORAL MANAGEMENT CORP.,CULTIVATE BEHAVIORAL MANAGEMENT CORP,IL,1256,2019-01-01,not_found,,,,,,,,,False,False,False,False,CULTIVATE BEHAVIORAL MANAGEMENT CORP,2026-04-29T13:01:06,
50,812807376,UPGRADE INC.,UPGRADE INC,CA,1234,2022-01-01,ambiguous,,"Ribbit LEAP, Ltd.  (CIK 0001818346)",,,,,,,False,False,False,False,UPGRADE INC,2026-04-29T13:01:09,"top FTS hit: Ribbit LEAP, Ltd.  (CIK 0001818346) | filing text not retrievable"
