state,year,private_establishments,private_employment,source_url
DE,2020,34647.0,364179.0,https://data.bls.gov/cew/data/api/2020/a/area/10000.csv
DE,2021,36097.0,375307.0,https://data.bls.gov/cew/data/api/2021/a/area/10000.csv
DE,2022,40175.0,392082.0,https://data.bls.gov/cew/data/api/2022/a/area/10000.csv
DE,2023,42927.0,404157.0,https://data.bls.gov/cew/data/api/2023/a/area/10000.csv
DE,2024,45178.0,409731.0,https://data.bls.gov/cew/data/api/2024/a/area/10000.csv
FL,2017,667411.0,7437388.0,https://data.bls.gov/cew/data/api/2017/a/area/12000.csv
FL,2018,684528.0,7635037.0,https://data.bls.gov/cew/data/api/2018/a/area/12000.csv
FL,2019,711804.0,7808474.0,https://data.bls.gov/cew/data/api/2019/a/area/12000.csv
FL,2020,740522.0,7389890.0,https://data.bls.gov/cew/data/api/2020/a/area/12000.csv
FL,2021,792325.0,7811760.0,https://data.bls.gov/cew/data/api/2021/a/area/12000.csv
FL,2022,845932.0,8308654.0,https://data.bls.gov/cew/data/api/2022/a/area/12000.csv
FL,2023,873215.0,8599846.0,https://data.bls.gov/cew/data/api/2023/a/area/12000.csv
FL,2024,876034.0,8729175.0,https://data.bls.gov/cew/data/api/2024/a/area/12000.csv
GA,2017,265558.0,3699460.0,https://data.bls.gov/cew/data/api/2017/a/area/13000.csv
GA,2018,270541.0,3777824.0,https://data.bls.gov/cew/data/api/2018/a/area/13000.csv
GA,2019,280279.0,3859728.0,https://data.bls.gov/cew/data/api/2019/a/area/13000.csv
GA,2020,301221.0,3663623.0,https://data.bls.gov/cew/data/api/2020/a/area/13000.csv
GA,2021,328364.0,3838969.0,https://data.bls.gov/cew/data/api/2021/a/area/13000.csv
GA,2022,370748.0,4062791.0,https://data.bls.gov/cew/data/api/2022/a/area/13000.csv
GA,2023,378556.0,4147694.0,https://data.bls.gov/cew/data/api/2023/a/area/13000.csv
GA,2024,383400.0,4183693.0,https://data.bls.gov/cew/data/api/2024/a/area/13000.csv
HI,2017,39172.0,531863.0,https://data.bls.gov/cew/data/api/2017/a/area/15000.csv
HI,2018,40274.0,536370.0,https://data.bls.gov/cew/data/api/2018/a/area/15000.csv
HI,2019,42128.0,536507.0,https://data.bls.gov/cew/data/api/2019/a/area/15000.csv
HI,2020,43885.0,442656.0,https://data.bls.gov/cew/data/api/2020/a/area/15000.csv
HI,2021,46101.0,470907.0,https://data.bls.gov/cew/data/api/2021/a/area/15000.csv
HI,2022,50348.0,501744.0,https://data.bls.gov/cew/data/api/2022/a/area/15000.csv
HI,2023,54727.0,513450.0,https://data.bls.gov/cew/data/api/2023/a/area/15000.csv
HI,2024,57568.0,516956.0,https://data.bls.gov/cew/data/api/2024/a/area/15000.csv
IA,2017,95401.0,1301192.0,https://data.bls.gov/cew/data/api/2017/a/area/19000.csv
IA,2018,96660.0,1309819.0,https://data.bls.gov/cew/data/api/2018/a/area/19000.csv
IA,2019,97987.0,1312038.0,https://data.bls.gov/cew/data/api/2019/a/area/19000.csv
IA,2020,98782.0,1242572.0,https://data.bls.gov/cew/data/api/2020/a/area/19000.csv
IA,2021,100418.0,1269438.0,https://data.bls.gov/cew/data/api/2021/a/area/19000.csv
IA,2022,104388.0,1297333.0,https://data.bls.gov/cew/data/api/2022/a/area/19000.csv
IA,2023,104709.0,1312629.0,https://data.bls.gov/cew/data/api/2023/a/area/19000.csv
IA,2024,105436.0,1315014.0,https://data.bls.gov/cew/data/api/2024/a/area/19000.csv
ID,2017,58421.0,589307.0,https://data.bls.gov/cew/data/api/2017/a/area/16000.csv
ID,2018,60875.0,611396.0,https://data.bls.gov/cew/data/api/2018/a/area/16000.csv
ID,2019,60643.0,631444.0,https://data.bls.gov/cew/data/api/2019/a/area/16000.csv
ID,2020,66608.0,629623.0,https://data.bls.gov/cew/data/api/2020/a/area/16000.csv
ID,2021,75772.0,670723.0,https://data.bls.gov/cew/data/api/2021/a/area/16000.csv
ID,2022,84171.0,699084.0,https://data.bls.gov/cew/data/api/2022/a/area/16000.csv
ID,2023,90972.0,717715.0,https://data.bls.gov/cew/data/api/2023/a/area/16000.csv
ID,2024,99957.0,734589.0,https://data.bls.gov/cew/data/api/2024/a/area/16000.csv
IL,2017,353360.0,5153355.0,https://data.bls.gov/cew/data/api/2017/a/area/17000.csv
