State,Program,Mandate_Date,Firms
CA,CalSavers,2019-07-01,73159
CO,SecureSavings,2023-01-01,2818
CT,MyCTSavings,2022-04-01,2419
DE,EARNS,2024-07-01,136
IL,Secure Choice,2018-11-01,14565
MD,MarylandSaves,2022-09-01,3575
ME,Maine Retirement Savings,2024-01-01,149
NJ,RetireReady NJ,2024-06-30,641
OR,OregonSaves,2017-11-01,7337
VA,RetirePath,2023-07-01,2178
