STATE,n,median,mean,pct_zero
CA,2123,0.0,67241.14,63.07
CO,129,0.0,34504.6,75.97
CT,74,0.0,55675.04,70.27
DE,2,5885.0,5885.0,50.0
IL,794,0.0,321848.16,55.79
MD,83,0.0,19890.89,77.11
ME,4,0.0,0.0,100.0
NJ,14,0.0,15434.5,78.57
OR,350,0.0,41616.1,55.43
VA,76,0.0,11127.03,81.58
