size_bucket,n,median,mean,pct_zero
solo,1244,0.0,57287.07,85.45
micro,745,0.0,27098.85,54.5
small,504,11073.5,297224.84,34.72
medium,737,0.0,120646.3,53.19
large,415,0.0,226324.84,55.18
unknown,4,0.0,16324.0,75.0
