STATE,solo,micro,small,medium,large,unknown
CA,19.34,43.36,30.87,5.78,0.64,0.01
CO,31.95,39.41,25.09,3.23,0.32,0.0
CT,24.2,40.72,29.43,5.11,0.5,0.04
DE,27.27,34.09,30.3,6.06,2.27,0.0
IL,16.86,41.03,33.59,7.26,1.26,0.0
MD,23.57,44.4,26.86,4.81,0.37,0.0
ME,18.88,30.07,41.96,9.09,0.0,0.0
NJ,18.41,30.02,42.12,8.46,1.0,0.0
OR,19.13,43.72,31.0,5.65,0.51,0.0
VA,32.65,34.33,26.84,5.58,0.6,0.0
