state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans,establishments,employment,rate_per_1000_estabs,esrp_rate_per_1000_estabs,with_employees_rate_per_1000_estabs,first_treatment_year,treated,event_time,cohort
MO,2022,674,602,1350,153767.0,2564383.0,4.383255184792576,8.779517061528157,3.9150142748444074,inf,0,,0
MO,2023,733,645,1355,151475.0,2631543.0,4.839082356824559,8.945370523188645,4.258128404027067,inf,0,,0
MO,2024,664,484,1128,151475.0,2631543.0,4.383561643835616,7.446773394949662,3.1952467403862026,inf,0,,0
MS,2017,118,116,140,59294.0,939485.0,1.9900833136573683,2.3611157958646745,1.9563530880021587,inf,0,,0
MS,2018,138,134,155,59271.0,944890.0,2.328288707799767,2.6151068819490138,2.26080207858818,inf,0,,0
MS,2019,128,120,144,59130.0,958126.0,2.164721799424996,2.4353120243531206,2.0294266869609334,inf,0,,0
MS,2020,123,112,148,58897.0,949927.0,2.088391598892983,2.5128614360663533,1.9016248705366996,inf,0,,0
MS,2021,171,160,196,59805.0,930852.0,2.8592927012791574,3.2773179500041802,2.675361591840147,inf,0,,0
MS,2022,184,154,204,60469.0,944580.0,3.0428814764590117,3.373629463030644,2.5467594966015645,inf,0,,0
MS,2023,155,136,164,60465.0,956079.0,2.5634664682047466,2.7123129082940545,2.2492350946828745,inf,0,,0
MS,2024,189,130,197,60465.0,956079.0,3.1257752418754654,3.2580831886215167,2.150004134623336,inf,0,,0
MT,2017,141,136,157,38192.0,376565.0,3.6918726434855467,4.110808546292417,3.5609551738583995,inf,0,,0
MT,2018,124,117,135,38720.0,371239.0,3.2024793388429753,3.4865702479338845,3.021694214876033,inf,0,,0
MT,2019,119,115,135,38959.0,375176.0,3.0544931851433557,3.4651813444903614,2.9518211453066043,inf,0,,0
MT,2020,155,143,167,39505.0,377638.0,3.9235539805087964,4.227312998354639,3.619794962662954,inf,0,,0
MT,2021,192,173,200,40716.0,380268.0,4.715590922487474,4.912073877591119,4.248943904116318,inf,0,,0
MT,2022,249,227,254,42015.0,398871.0,5.9264548375580155,6.045459954778056,5.402832321789837,inf,0,,0
MT,2023,215,190,223,42566.0,409312.0,5.0509796551238075,5.23892308415167,4.463656439411737,inf,0,,0
MT,2024,224,159,237,42566.0,409312.0,5.262416012780154,5.567824084950431,3.7353756519287695,inf,0,,0
NC,2017,1156,1119,1292,233363.0,3774377.0,4.953655892322262,5.536438938477822,4.7951046224122935,inf,0,,0
NC,2018,1241,1207,1371,234948.0,3848565.0,5.282019851201118,5.8353337759844734,5.137306978565469,inf,0,,0
NC,2019,1323,1265,1460,238015.0,3932620.0,5.558473205470244,6.134067180639875,5.314791084595509,inf,0,,0
NC,2020,1246,1176,1472,240760.0,3962754.0,5.175278285429473,6.113972420667885,4.88453231433793,inf,0,,0
NC,2021,1481,1347,1640,247458.0,3903814.0,5.984853995425486,6.627387273799998,5.443347962078413,inf,0,,0
NC,2022,1631,1440,1752,254636.0,4106761.0,6.405221571183965,6.880409682841389,5.655131246171004,inf,0,,0
NC,2023,1661,1470,1775,258169.0,4279425.0,6.433770127319701,6.875341346172468,5.693944664154101,inf,0,,0
NC,2024,1830,1337,1942,258169.0,4279425.0,7.0883800921102065,7.522204447474329,5.178778242159206,inf,0,,0
ND,2017,57,57,61,24596.0,340521.0,2.3174499918685965,2.48007806147341,2.3174499918685965,inf,0,,0
ND,2018,84,82,88,24566.0,346155.0,3.419360091182936,3.582186762191647,3.3379467556785802,inf,0,,0
ND,2019,83,79,93,24654.0,353333.0,3.3665936562018337,3.7722073497201265,3.204348178794516,inf,0,,0
ND,2020,79,79,84,24510.0,355103.0,3.223174214606283,3.427172582619339,3.223174214606283,inf,0,,0
ND,2021,92,85,100,24816.0,332684.0,3.7072856221792394,4.029658284977434,3.4252095422308186,inf,0,,0
ND,2022,91,80,102,25098.0,342345.0,3.625786915292055,4.064068850107579,3.1875049804765316,inf,0,,0
ND,2023,125,112,134,25402.0,352108.0,4.920872372254154,5.275175183056452,4.409101645539721,inf,0,,0
ND,2024,108,80,112,25402.0,352108.0,4.251633729627589,4.409101645539721,3.149358318242658,inf,0,,0
