event_time,ATT,std_error,lower,upper,zero_not_in_cband,spec,coef,se,ci_lo,ci_hi
-6,7.203350239448625e-05,0.31339049528286683,-0.702628494432362,0.7027725614371509,,CS not-yet-treated,,,,
-5,0.07175423936945818,0.1826674501665646,-0.3378322528841832,0.4813407316230996,,CS not-yet-treated,,,,
-4,0.21791101218495193,0.37671988024765035,-0.6267899685981578,1.0626119929680617,,CS not-yet-treated,,,,
-3,0.25532496373224434,0.19333816892680547,-0.17818797115168988,0.6888378986161785,,CS not-yet-treated,,,,
-2,0.40719891705614886,0.5921788354812902,-0.9206153804033109,1.7350132145156087,,CS not-yet-treated,,,,
-1,0.23492265372365878,0.33019601880518573,-0.5054600963241023,0.9753054037714197,,CS not-yet-treated,,,,
0,2.215723045741467,0.8578100295113321,0.2922966187170337,4.139149472765901,*,CS not-yet-treated,,,,
1,2.1613463793727843,1.2206678909585573,-0.5756988862641479,4.898391645009717,,CS not-yet-treated,,,,
2,1.242628498034628,0.5068915180043932,0.10604987593622361,2.3792071201330325,*,CS not-yet-treated,,,,
3,0.7627755884258363,0.6349408614013797,-0.660921955787755,2.1864731326394278,,CS not-yet-treated,,,,
4,5.964391923628321,4.099134320689833,-3.2269010306277206,15.155684877884363,,CS not-yet-treated,,,,
5,3.379592377209077,0.257916607159204,2.8012782970378582,3.957906457380296,*,CS not-yet-treated,,,,
6,2.8996670176052257,0.3962398032913873,2.011197446406829,3.7881365888036225,*,CS not-yet-treated,,,,
-4,,,,,,TWFE event study,-0.4351463614592094,0.39214334169743914,-1.2037331879633741,0.3334404650449554
-3,,,,,,TWFE event study,-0.1832411889240241,0.3265487102851212,-0.823264900280866,0.4567825224328178
-2,,,,,,TWFE event study,0.19230729486782028,0.706665341926501,-1.1927313244308042,1.577345914166445
-1,,,,,,TWFE event study,0.0,0.0,0.0,0.0
0,,,,,,TWFE event study,2.141815618816561,1.3828962863938168,-0.5686112968695078,4.852242534502629
1,,,,,,TWFE event study,1.8542842619842173,1.011623379079489,-0.12846112693029177,3.8370296508987263
2,,,,,,TWFE event study,1.165620998220726,0.6280111630731263,-0.06525826329171247,2.3965002597331644
3,,,,,,TWFE event study,0.9312273720058882,0.5981072480592035,-0.24104129308251465,2.103496037094291
4,,,,,,TWFE event study,4.141510417190884,3.3408159664568418,-2.406368556040899,10.689389390422667
5,,,,,,TWFE event study,2.1606326892755345,1.2247209080746961,-0.23977618166406023,4.561041560215129
