spec,coef,se,ci_lo,ci_hi,n_obs,outcome,pval
Drop CA,1.5102709065121602,0.2812416500931074,1.033340687371222,1.9872011256530984,,new_401k_per_1000_qcew_establishments,
Outcome: 401(k) w/ employees,1.253583986730738,0.17100268558140036,0.965643231662135,1.541524741799341,,with_employees_rate_per_1000_qcew_estabs,
Drop late-treatment (ME/DE/NJ),1.5957693567501428,0.2501870174731302,1.173781818012976,2.0177568954873095,,new_401k_per_1000_qcew_establishments,
Outcome: any ESRP,1.5488508602492737,0.34450356807111904,1.0702259609592382,2.027475759539309,,esrp_rate_per_1000_qcew_estabs,
Permutation 2-sided p (200 iter),1.6162394497612855,0.22554101928291273,,,200.0,new_401k_per_1000_qcew_establishments,0.0
