state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans
NH,2019,279,269,290
NH,2020,266,254,288
NH,2021,328,305,353
NH,2022,313,277,320
NH,2023,296,260,322
NH,2024,328,237,347
NJ,2017,1665,1608,1871
NJ,2018,1790,1733,1998
NJ,2019,1702,1630,1861
NJ,2020,1587,1491,1795
NJ,2021,1910,1781,2102
NJ,2022,2236,2051,2375
NJ,2023,2001,1827,2119
NJ,2024,2129,1722,2241
NM,2017,150,143,163
NM,2018,160,160,175
NM,2019,170,165,190
NM,2020,188,178,203
NM,2021,178,169,188
NM,2022,231,201,245
NM,2023,200,177,212
NM,2024,223,144,236
NV,2017,442,417,490
NV,2018,486,468,538
NV,2019,473,443,523
NV,2020,557,515,611
NV,2021,681,624,739
NV,2022,714,615,755
NV,2023,671,603,712
NV,2024,844,654,875
NY,2017,3255,3126,3660
NY,2018,3469,3371,3832
NY,2019,3402,3228,3769
NY,2020,3395,3143,3758
NY,2021,3588,3300,3940
NY,2022,4244,3763,4545
NY,2023,4112,3665,4380
NY,2024,3962,2878,4112
OH,2017,1148,1107,2001
OH,2018,1205,1148,2192
OH,2019,1185,1120,2731
OH,2020,1229,1159,3678
OH,2021,1276,1176,3066
OH,2022,1332,1206,3154
OH,2023,1187,1023,2373
OH,2024,1233,895,2242
OK,2017,284,275,343
OK,2018,340,326,387
OK,2019,337,321,360
OK,2020,329,306,371
OK,2021,362,335,398
OK,2022,440,394,472
OK,2023,380,316,414
OK,2024,448,332,479
OR,2017,636,601,684
OR,2018,826,797,889
OR,2019,968,883,1017
OR,2020,852,788,885
OR,2021,876,787,907
OR,2022,951,793,994
OR,2023,1321,1114,1363
OR,2024,1117,706,1146
PA,2017,1458,1403,1648
PA,2018,1518,1466,1680
PA,2019,1563,1492,1737
PA,2020,1582,1496,1736
PA,2021,1835,1695,2006
PA,2022,1958,1778,2083
PA,2023,1814,1649,1961
PA,2024,1742,1322,1850
RI,2017,217,215,227
RI,2018,215,208,230
RI,2019,188,181,196
RI,2020,201,188,213
RI,2021,195,180,208
RI,2022,195,171,206
RI,2023,209,185,218
RI,2024,271,211,284
SC,2017,541,518,621
SC,2018,524,505,595
SC,2019,536,504,603
SC,2020,556,528,643
SC,2021,716,660,810
SC,2022,791,703,854
SC,2023,813,722,865
SC,2024,816,640,861
SD,2017,79,78,84
SD,2018,85,82,92
SD,2019,60,59,65
SD,2020,78,76,92
SD,2021,118,111,140
SD,2022,121,108,129
SD,2023,133,122,144
SD,2024,113,88,116
TN,2017,565,537,670
TN,2018,656,640,744
TN,2019,646,611,733
TN,2020,633,585,730
TN,2021,808,757,901
TN,2022,951,833,1022
TN,2023,869,760,957
TN,2024,871,625,945
TX,2017,2861,2721,3454
TX,2018,3093,2978,3602
TX,2019,3361,3129,3776
TX,2020,3393,3195,3984
TX,2021,3994,3594,4521
TX,2022,4527,3912,4901
TX,2023,4191,3644,4602
TX,2024,4427,3123,4774
UT,2017,491,476,548
UT,2018,511,501,556
UT,2019,474,459,523
UT,2020,527,494,583
UT,2021,677,618,724
UT,2022,652,567,699
UT,2023,620,546,669
UT,2024,721,523,774
VA,2017,1096,1048,1198
VA,2018,1153,1115,1239
VA,2019,1205,1130,1315
VA,2020,1172,1092,1265
VA,2021,1385,1271,1497
VA,2022,1461,1273,1586
VA,2023,1729,1552,1817
VA,2024,1811,1330,1947
VT,2017,66,65,74
VT,2018,85,82,98
VT,2019,89,85,99
VT,2020,97,91,102
VT,2021,112,102,125
VT,2022,162,142,172
VT,2023,133,120,139
VT,2024,161,122,168
WA,2017,1096,1047,1184
WA,2018,1076,1036,1152
WA,2019,1171,1079,1254
WA,2020,1162,1076,1316
WA,2021,1305,1159,1430
WA,2022,1500,1275,1576
WA,2023,1324,1141,1404
WA,2024,1452,937,1513
WI,2017,605,589,676
WI,2018,680,662,724
WI,2019,659,633,717
WI,2020,683,643,797
WI,2021,681,629,768
WI,2022,828,741,888
WI,2023,841,763,891
WI,2024,802,592,851
WV,2017,88,85,109
WV,2018,93,91,132
WV,2019,106,100,145
WV,2020,74,72,104
WV,2021,104,100,143
WV,2022,110,99,160
WV,2023,125,109,160
WV,2024,112,71,137
WY,2017,51,47,100
WY,2018,72,70,89
WY,2019,84,77,113
WY,2020,84,72,102
WY,2021,97,85,120
WY,2022,131,116,145
WY,2023,146,126,155
WY,2024,189,123,199
