"restriction","parameter","lb","ub","method","width"
"Original (CS unrestricted)","",1.14928531834579,4.17657447432225,"Original",3.02728915597646
"Smoothness (DeltaSD)","M = 0.00",-0.479294030298492,9.07566438016821,"C-LF",9.55495841046671
"Smoothness (DeltaSD)","M = 0.50",-6.03225615587724,14.6190976589053,"C-LF",20.6513538147826
"Smoothness (DeltaSD)","M = 1.00",-11.8409103081014,20.4125205543372,"C-LF",32.2534308624385
"Smoothness (DeltaSD)","M = 2.00",-23.7305581871286,32.3383147342068,"C-LF",56.0688729213353
"Relative magnitudes (DeltaRM)","Mbar = 0.50",-0.695749398820391,5.85975604784285,"C-LF",6.55550544666324
"Relative magnitudes (DeltaRM)","Mbar = 1.00",-3.32413601658631,8.48814266560877,"C-LF",11.8122786821951
"Relative magnitudes (DeltaRM)","Mbar = 2.00",-8.89013120714944,14.0232156606688,"C-LF",22.9133468678182
