spec,coef,se,ci_lo,ci_hi,n_obs,outcome,pval
CS: not-yet-treated (primary),2.3664056849550126,0.5098784521777997,1.5349015617398132,3.1979098081702118,,rate_per_1000_estabs,
CS: never-treated,2.41608923959322,0.49424506248478367,1.5522473729963298,3.27993110619011,,rate_per_1000_estabs,
TWFE (biased — contrast only),3.0277872770971994,0.7395820838472351,1.5782330291455362,4.477341525048862,408.0,rate_per_1000_estabs,4.2414715893122985e-05
