spec,coef,se,ci_lo,ci_hi,n_obs,outcome,pval
Drop CA (rate_susb_all),2.6363423423289802,0.752395747221322,1.4664758015447772,3.8062088831131833,,new_401k_per_1000_firms,
With-employees (rate_susb_all),2.2329491574339624,0.4070316275903954,1.5681622823960004,2.8977360324719244,,new_401k_with_employees_per_1000_firms,
Drop late-treatment ME/DE/NJ (rate_susb_all),2.8123925962379377,0.6432943300993583,1.832482134685447,3.7923030577904284,,new_401k_per_1000_firms,
Permutation 2-sided p (rate_susb_all),2.8852557866116824,0.312666736451776,,,200.0,new_401k_per_1000_firms,0.0
Drop CA (rate_susb_5plus),6.702609039813736,1.585536766482376,4.089350886120383,9.315867193507088,,new_401k_per_1000_firms_5plus,
With-employees (rate_susb_5plus),6.046156991759766,1.141377308562736,4.113240034030208,7.979073949489323,,new_401k_with_employees_per_1000_firms_5plus,
Drop late-treatment ME/DE/NJ (rate_susb_5plus),7.717314177480512,1.6060425283598,4.877877135806948,10.556751219154076,,new_401k_per_1000_firms_5plus,
Permutation 2-sided p (rate_susb_5plus),7.827832472288804,0.8209037546560416,,,200.0,new_401k_per_1000_firms_5plus,0.0
