spec,coef,se,ci_lo,ci_hi,n_obs,outcome,pval
CS: not-yet-treated (primary),2.3716578246513285,0.532214995823648,1.509486068327166,3.233829580975491,,rate_per_1000_estabs,
CS: never-treated,2.4248100673190724,0.5142391668020163,1.5255841721743935,3.3240359624637517,,rate_per_1000_estabs,
TWFE (biased — contrast only),3.0748725444675777,0.6976377166523036,1.7075277455723037,4.442217343362852,408.0,rate_per_1000_estabs,1.045468680549479e-05
