"event_time","estimate","std_error","ci_lo","ci_hi"
-6,-0.00692898882106077,0.317880344446366,-0.726827770766682,0.71296979312456
-5,0.0689724614340192,0.180277281788436,-0.339298757090031,0.47724367995807
-4,0.216032886272269,0.368963841913246,-0.619553915541262,1.0516196880858
-3,0.255324963732245,0.197817170929046,-0.192668574993069,0.703318502457558
-2,0.407198917056148,0.591027352886335,-0.931291741057524,1.74568957516982
-1,0.245812637606334,0.295982926720154,-0.424495395416734,0.916120670629402
0,2.19466006208364,0.880908801485762,0.199679295659513,4.18964082850777
1,2.21508865666364,1.23488828495585,-0.581544062880397,5.01172137620768
2,1.28219908390127,0.51493389758879,0.116036116819086,2.44836205098345
3,5.52240258952656,4.19114872064135,-3.9692281817863,15.0140333608394
4,1.67669993054306,1.28711900205426,-1.23821889972221,4.59161876080834
5,3.34417061483563,0.248070374267943,2.78236941072747,3.9059718189438
6,2.40528833678433,0.191561622443612,1.97146164358358,2.83911502998508
