State,Program,Mandate_Date,Firms
CA,CalSavers,2018-11-01,81715
CO,SecureSavings,2023-01-01,2817
CT,MyCTSavings,2022-04-01,2418
DE,EARNS,2024-01-01,219
IL,Secure Choice,2018-05-01,14839
MD,MarylandSaves,2022-09-01,3574
ME,Maine Retirement Savings,2024-01-01,149
NJ,RetireReady NJ,2024-03-01,858
OR,OregonSaves,2017-11-01,7329
VA,RetirePath,2023-07-01,2178
