State,Program,Mandate_Date,Firms
CA,CalSavers,2018-11-01,81512
CO,SecureSavings,2023-01-01,2787
CT,MyCTSavings,2022-04-01,2410
DE,EARNS,2024-01-01,215
IL,Secure Choice,2018-05-01,14793
MD,MarylandSaves,2022-09-01,3556
ME,Maine Retirement Savings,2024-01-01,143
NJ,RetireReady NJ,2024-03-01,816
OR,OregonSaves,2017-11-01,7308
VA,RetirePath,2023-07-01,2150
